학력,학과,학점,어학,,,,,,,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,6,21, 읽음,,,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,6,878, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,32,962, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 930, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,23,777, 읽음,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 900, 자격증 2개, 수상 1회,23,82, 읽음,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,14,272, 읽음,,,,,,,
수도권4년, 미디어학과, 학점 3.58/4.5, 토스 Level6, 자격증 1개, 해외경험 1회, 인턴 1회,22,252, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 자격증 3개,10,227, 읽음,,,,,,,,
수도권4년, 화학공학.고분자공학과, 학점 3.8/4.5, 오픽 IH, 자격증 1개,30,816, 읽음,,,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,11,816, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 오픽 IH, 자격증 2개, 인턴 1회,5,662, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 765, 인턴 1회, 자원봉사 1회,3,489, 읽음,,,,,,,
지방4년, 수학과, 학점 3.4/4.5, 토익 730, 오픽 IL, 자격증 1개, 인턴 1회, 사회활동 1회,9,384, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5, 토익 810, 토스 Level5, 자격증 2개, 인턴 1회, 수상 1회,5,658, 읽음,,,,,
수도권4년,전기전자, 학점 3.9/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 2회, 동아리 2회,29,653, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,6,791, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,3,647, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.2/4.5,0, 인턴 2회, 수상 2회,11,852, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 교내활동 1회,36,1, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.2/4.5,0, 인턴 2회, 수상 1회,15,133, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0, 해외경험 3회, 인턴 1회,3,40, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,8,953, 읽음,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개,8,609, 읽음,,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,37,826, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5,0, 자원봉사 2회,5,181, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.83/4.5, 토익 945, 오픽 IM1, 자격증 3개, 수상 3회, 동아리 1회, 교내활동 1회,56,428, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,9,410, 읽음,,,,,,,
수도권4년, 글로벌통상학과, 학점 3.88/4.5,0,968, 읽음,,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 885, 자격증 1개, 수상 1회,3,889, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 815, 토스 Level6, 자격증 3개,4,712, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 630, 자격증 3개, 수상 1회, 자원봉사 3회,5,705, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,23,926, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.2/4.5,0, 인턴 2회, 수상 2회,7,269, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.92/4.5, 토익 785, 토스 Level6, 자격증 3개, 해외경험 2회, 수상 1회, 동아리 1회,21,92, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,8,316, 읽음,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,7,65, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 3.8/4.5,0,37, 읽음,,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.17/4.5, 토익 785, 토스 Level6, 제2외국어 2개, 자격증 4개,13,720, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 735, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 자원봉사 1회,5,821, 읽음,,,,
초대졸,컴퓨터학부, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 5개,13,63, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5,0,21,688, 읽음,,,,,,,,,
수도권4년,전기전자, 학점 3.32/4.5,0, 동아리 2회,92,511, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,15,472, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845,10,147, 읽음,,,,,,,,,
수도권4년,전기전자, 학점 3.43/4.5,0,3,163, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,25,617, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 오픽 IH, 자격증 3개, 인턴 1회,7,221, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.83/4.5, 토익 945, 오픽 IM1, 자격증 3개, 수상 3회, 동아리 1회, 교내활동 1회,10,98, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 720, 자격증 5개, 인턴 1회, 수상 2회,9,820, 읽음,,,,,,
수도권4년,전기전자, 학점 3.43/4.5, 토익 810, 토스 Level6, 자격증 3개,23,567, 읽음,,,,,,,
수도권4년, 수학과, 학점 3.46/4.5, 토익 890, 토스 Level5, 자격증 2개,13,128, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,17,778, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,18,217, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.5/4.5, 오픽 IL, 자격증 2개, 인턴 1회,3,140, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,4,338, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,6,53, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 805, 토스 Level5, 자격증 1개,6,299, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.14/4.5, 토익 695, 자격증 1개, 수상 2회, 자원봉사 1회,13,746, 읽음,,,,,,
대학원,컴퓨터학부, 학점 3.8/4.5,0,717, 읽음,,,,,,,,,,
지방4년,전기전자, 학점 3.86/4.5, 토스 Level6, 오픽 IH, 해외경험 1회,6,991, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 해외경험 1회, 수상 2회, 자원봉사 1회,13,945, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.7/4.5, 토익 840, 토스 Level7, 오픽 IH, 해외경험 1회, 인턴 2회, 수상 1회,25,857, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.75/4.5, 오픽 IM2,24,410, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,5,212, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.56/4.5, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 수상 7회, 동아리 2회, 사회활동 4회,30,30, 읽음,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,3,897, 읽음,,,,,,,,
수도권4년,전기전자, 학점 3.32/4.5,0, 동아리 2회,49,613, 읽음,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,11,108, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 자격증 4개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,5,673, 읽음,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5,0, 자원봉사 2회,13,349, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.2/4.5, 토익 815, 토스 Level6,18,59, 읽음,,,,,,,,
수도권4년, 경영학과, 학점 3.7/4.5,0, 자격증 3개,19,988, 읽음,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,70,848, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 815, 토스 Level6, 자격증 3개,3,166, 읽음,,,,,,,
수도권4년, 수학과, 학점 3.46/4.5, 토익 890, 토스 Level5, 자격증 2개,27,419, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.07/4.5, 토익 845, 교내활동 1회,59,304, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.13/4.5,0, 수상 3회,53,471, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.75/4.5, 오픽 IM2,74,720, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,11,608, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회,7,823, 읽음,,,,,,,,
대학원, 통신공학과, 학점 3.9/4.5, 토익 435, 자격증 6개, 동아리 1회, 교내활동 1회,13,503, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 800, 토스 Level6,15,312, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,10,263, 읽음,,,,,
대학원,컴퓨터학부, 학점 4.31/4.5, 오픽 IL, 자격증 1개, 해외경험 1회, 수상 1회, 동아리 1회, 교내활동 1회, 사회활동 1회,8,778, 읽음,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 930, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,6,999, 읽음,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845, 토스 Level6, 자격증 5개, 해외경험 1회, 인턴 1회, 수상 3회,8,878, 읽음,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5,0, 자원봉사 2회,4,25, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.2/4.5,0, 인턴 2회, 수상 2회,8,268, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,10,829, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.2/4.5,0, 인턴 2회, 수상 2회,3,38, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,7,244, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,6,187, 읽음,,,,,,,,
수도권4년, 경영학과_경영전공, 학점 3.85/4.5, 오픽 IH, 해외경험 1회, 인턴 1회, 수상 1회,56,696, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,12,840, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.94/4.5,0,14,296, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 오픽 IM2, 자격증 3개, 해외경험 1회, 수상 2회,4,17, 읽음,,,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회,7,357, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,6,434, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.83/4.5, 토익 945, 오픽 IM1, 자격증 3개, 수상 3회, 동아리 1회, 교내활동 1회,10,378, 읽음,,,,
대학원,컴퓨터학부, 학점 4/4.5,0,6,693, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.48/4.5, 토익 810, 토스 Level6, 자격증 1개,22,520, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토스 Level5, 자격증 1개,4,156, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,7,759, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 805, 토스 Level5, 자격증 1개,7,641, 읽음,,,,,,,
해외대학, SoftwareEngineering, 학점 3.8/4.5,0, 수상 1회, 자원봉사 1회,2,399, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5,0, 해외경험 1회, 인턴 1회,2,155, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,70,332, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,35,758, 읽음,,,,,,,,
대학원,전기전자, 학점 3.65/4.5, 토익 770, 토스 Level6, 자격증 3개,12,432, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.6/4.5, 토익 935, 토스 Level6,30,307, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5,0,8,980, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 교내활동 1회,8,45, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.86/4.3, 오픽 IL,5,91, 읽음,,,,,,,,,
수도권4년,산업공학, 학점 3.8/4.5, 토익 915, 토스 Level6, 자격증 1개, 인턴 1회,4,674, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5,0, 해외경험 1회, 인턴 1회,2,413, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.58/4.5, 토익 945, 토스 AL, 자격증 2개, 인턴 2회, 수상 1회, 사회활동 1회,16,734, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.7/4.5, 토익 840, 토스 Level7, 오픽 IH, 해외경험 1회, 인턴 2회, 수상 1회,14,909, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 780, 토스 Level6, 자격증 2개, 해외경험 1회,9,772, 읽음,,,,,,
대졸4년, Information security, 학점 2.9/4,0, 자격증 8개, 해외경험 1회, 수상 1회, 동아리 1회, 교내활동 1회,20,11, 읽음,,,,
수도권4년, 정보통신공학, 학점 3.7/4.5, 토익 710, 토스 Level5, 자격증 2개, 인턴 1회, 수상 2회,5,631, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,12,922, 읽음,,,,
수도권4년, 통계학과(자연), 학점 3.41/4.5, 토익 785, 수상 1회, 교내활동 1회,38,169, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.5/4.5, 오픽 IM2, 자격증 1개,4,681, 읽음,,,,,,,,
수도권4년,전기전자, 학점 3.5/4.5, 토익 775, 자격증 1개, 해외경험 1회,2,955, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.06/4.5, 오픽 AL, 자격증 1개, 인턴 1회,7,151, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,4,42, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,9,594, 읽음,,,,,,,,
수도권4년, 응용통계학과, 학점 3.4/4.5, 토익 935,14,45, 읽음,,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,10,218, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,3,620, 읽음,,,,,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,20,135, 읽음,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,6,872, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,8,415, 읽음,,,,,,
대졸4년, 서어서문학과, 학점 3.6/4.5, 토익 890, 자격증 1개, 자원봉사 1회,21,296, 읽음,,,,,,,
수도권4년, 스포츠산업학과, 학점 3.93/4.5, 토익 880, 제2외국어 1개, 자격증 2개, 인턴 3회, 동아리 1회, 사회활동 2회,12,456, 읽음,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 교내활동 1회,22,316, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.92/4.5, 토익 785, 토스 Level6, 자격증 3개, 해외경험 2회, 수상 1회, 동아리 1회,8,866, 읽음,,,,
수도권4년, 정보통신공학, 학점 3.8/4.5, 토익 910, 오픽 IH, 인턴 1회, 수상 1회, 자원봉사 1회,2,424, 읽음,,,,,
수도권4년,전기전자, 생체의공학, 학점 3.3/4.5, 토익 825, 자격증 1개, 인턴 1회,8,423, 읽음,,,,,,
초대졸,컴퓨터학부, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 5개,8,695, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,12,762, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 780, 토스 Level6, 자격증 2개, 해외경험 1회,5,76, 읽음,,,,,,
수도권4년, 영어영문학, 학점 3.92/4.5, 토익 965, 오픽 IH, 자격증 1개, 해외경험 1회, 동아리 1회, 자원봉사 1회,20,210, 읽음,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 교내활동 1회,18,559, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.9/4.5, 토스 Level6, 자격증 1개, 인턴 1회, 수상 1회, 자원봉사 2회,3,101, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5,0,35,893, 읽음,,,,,,,,,
대졸4년, 인문학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 인턴 1회,12,72, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 오픽 IH, 자격증 3개, 인턴 1회,7,266, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.97/4.5, 토익 760, 토스 Level6,28,332, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 790, 토스 Level6, 자격증 1개, 수상 1회, 자원봉사 1회,8,113, 읽음,,,,,
대졸4년, 응용통계학과, 학점 3.78/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 1회, 사회활동 1회,18,687, 읽음,,,,,
대학원,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,14,619, 읽음,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,12,446, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 790, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,2,201, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,15,57, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 790, 토스 Level6, 자격증 1개, 수상 1회, 자원봉사 1회,4,365, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 820, 토스 Level6, 자격증 1개,6,655, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.7/4.5, 토익 710, 토스 Level5, 자격증 3개, 인턴 1회, 수상 2회,3,391, 읽음,,,,,
수도권4년, 융합기계공학전공, 학점 3.12/4.5, 오픽 IH, 자격증 1개, 인턴 1회, 수상 1회,16,694, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토스 Level5,7,336, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 765, 토스 Level5, 자격증 1개, 인턴 1회,6,738, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.06/4.5, 오픽 AL, 자격증 1개, 인턴 1회,12,505, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.8/4.5, 토익 915, 토스 Level6, 자격증 1개, 인턴 1회,6,234, 읽음,,,,,,
수도권4년, 경영정보, 학점 3.5/4.5, 토익 730, 토스 Level6, 자격증 1개, 인턴 1회, 자원봉사 1회,10,125, 읽음,,,,,
지방4년,전기전자, 학점 3.12/4.5, 오픽 IM1,10,752, 읽음,,,,,,,,,
수도권4년, 스포츠산업학과, 학점 3.93/4.5, 토익 880, 제2외국어 1개, 자격증 2개, 인턴 3회, 동아리 1회, 사회활동 2회,12,121, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5,0,10,650, 읽음,,,,,,,,,
수도권4년, 영문과, 학점 4.2/4.5, 토익 960, 자격증 1개,22,23, 읽음,,,,,,,,
수도권4년, 통계학과(자연), 학점 3.51/4.5, 토익 785, 수상 1회, 교내활동 1회,96,921, 읽음,,,,,,,
수도권4년, 공간정보공학과, 학점 3.62/4.5,0,10,54, 읽음,,,,,,,,,
수도권4년, 경영정보, 학점 3.5/4.5, 토익 730, 토스 Level6, 자격증 1개, 인턴 1회, 자원봉사 1회,7,705, 읽음,,,,,
수도권4년,전기전자, 학점 3.7/4.5, 토익 690, 자격증 3개,9,597, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,11,562, 읽음,,,,,,,
초대졸,컴퓨터학부, 학점 3.68/4.5,0, 인턴 1회,9,28, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개,4,887, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 2.97/4.5, 토익 725, 해외경험 1회, 동아리 2회,16,765, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.4/4.5,0,201, 읽음,,,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개, 자원봉사 1회,10,474, 읽음,,,,,,
대학원, 인공지능융합학과, 학점 4.13/4.5, 오픽 IH, 수상 3회, 동아리 1회, 교내활동 1회, 자원봉사 1회,20,81, 읽음,,,,,
대졸4년,컴퓨터학부, 학점 4.2/4.5,0,3,665, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 오픽 M2, 자격증 1개, 인턴 1회,28,151, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 830, 토스 Level6, 자격증 1개, 인턴 1회,6,678, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.17/4.5,0, 인턴 1회,3,732, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.31/4.5, 토익 725, 자격증 1개, 인턴 1회, 수상 1회, 교내활동 1회, 자원봉사 1회,8,962, 읽음,,,,
고졸, 자격증 4개,0,0, 교내활동 1회, 사회활동 1회,22,219, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.9/4.5, 토스 Level6, 자격증 1개, 인턴 1회, 수상 1회, 자원봉사 2회,9,56, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5,0, 해외경험 1회, 인턴 1회,9,855, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.32/4.5, 토스 Level6, 수상 1회, 동아리 2회,16,249, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 930, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,12,652, 읽음,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,14,536, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5,0, 수상 2회,61,939, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,9,61, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 해외경험 1회, 인턴 1회,933, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 885, 자격증 1개, 인턴 1회,3,162, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 토스 Level5, 자격증 1개, 인턴 1회,4,820, 읽음,,,,,,
수도권4년, 스포츠산업학과, 학점 3.93/4.5, 토익 880, 제2외국어 1개, 자격증 2개, 인턴 3회, 동아리 1회, 사회활동 2회,19,823, 읽음,,,,
수도권4년, 정보통신공학, 학점 3.14/4.5, 오픽 IM1, 자격증 6개, 인턴 1회, 수상 2회, 동아리 1회,23,960, 읽음,,,,,
지방4년,산업공학, 학점 3.9/4.5,0, 인턴 1회,27,54, 읽음,,,,,,,,
대학원,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,41,670, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.77/4.5, 토익 845, 토스 Level6, 인턴 1회, 수상 1회, 동아리 1회, 자원봉사 1회,27,323, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,8,859, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,15,274, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,7,803, 읽음,,,,,
수도권4년,산업공학, 학점 3.77/4.5, 오픽 IM2,18,82, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,18,705, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.43/4.5, 토익 610, 자격증 1개, 인턴 2회, 수상 3회, 자원봉사 1회,39,875, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.24/4.5, 토익 785, 자격증 1개, 수상 1회,12,602, 읽음,,,,,,,
수도권4년,전기전자, 학점 4.4/4.5, 토익 930, 오픽 IM1, 자격증 1개, 수상 5회,10,535, 읽음,,,,,,
