학력,학과,학점,어학,,,,,,,,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 780, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,22,221, 읽음,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 780, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,15,228, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,7,655, 읽음,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,7,645, 읽음,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,3,303, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.63/4.5, 토익 900, 자격증 2개, 인턴 1회, 자원봉사 1회,9,736, 읽음,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,33,570, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.2/4.5, 토익 755, 자격증 4개, 인턴 2회, 수상 1회,27,409, 읽음,,,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,16,372, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,22,952, 읽음,,,,,
수도권4년,전기전자, 학점 4.23/4.5, 오픽 IM2, 자격증 2개, 수상 2회, 동아리 1회, 교내활동 1회,31,594, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,19,494, 읽음,,,,,,,
수도권4년, 소프트웨어공학, 학점 3.3/4.5,0, 자원봉사 1회,5,329, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5, 토스 Level5, 인턴 1회, 수상 3회, 자원봉사 2회,2,919, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.99/4.5,0, 수상 1회, 동아리 1회, 교내활동 1회,26,253, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.5/4.5, 오픽 IL, 자격증 2개, 인턴 1회,4,401, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,17,177, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.17/4.5, 토익 905, 오픽 IH, 제2외국어 1개, 자격증 2개, 해외경험 14회, 인턴 1회, 동아리 4회, 교내활동 1회, 사회활동 1회,16,782, 읽음,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,4,126, 읽음,,,,,,
지방4년,전기전자, 학점 3.3/4.5, 토익 855, 오픽 IM2, 자격증 1개,23,220, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,6,316, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0,14,213, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5,0, 인턴 1회, 수상 3회,8,365, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 4.17/4.5, 토익 730, 토스 Level6, 제2외국어 1개, 자격증 4개,24,646, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5,0,2,996, 읽음,,,,,,,,,
수도권4년,산업공학, 학점 3.68/4.5, 토익 810, 토스 Level6, 자격증 3개, 해외경험 1회, 인턴 2회, 수상 1회, 교내활동 1회, 사회활동 1회, 자원봉사 2회,8,850, 읽음,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 오픽 M2, 자격증 1개, 인턴 1회,15,430, 읽음,,,,,,,
지방4년, 정보통신공학, 학점 3.5/4.5,0,467, 읽음,,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.52/4.5, 토익 880, 오픽 IM2, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회,23,744, 읽음,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,4,782, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 780, 토스 Level4,2,829, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,31,388, 읽음,,,,,
대학원,컴퓨터학부, 학점 4.44/4.5, 토익 765, 오픽 IM1, 자격증 2개, 수상 7회, 자원봉사 3회,13,685, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.85/4.5, 토익 770, 토스 Level5, 자격증 5개, 수상 2회,15,453, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 825, 오픽 IH, 자격증 1개, 인턴 1회,3,307, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,13,169, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0, 해외경험 3회, 인턴 1회,3,191, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 4.44/4.5, 토익 765, 오픽 IM1, 자격증 2개, 수상 7회, 자원봉사 3회,31,472, 읽음,,,,,
수도권4년, 경영학과_경영전공, 학점 3.85/4.5, 오픽 IH, 해외경험 1회, 인턴 1회, 수상 1회,163,668, 읽음,,,,,,
수도권4년,전기전자, 학점 3.2/4.5,0,612, 읽음,,,,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.3/4.5,0, 자원봉사 1회,15,456, 읽음,,,,,,,,
수도권4년, 수학과, 학점 3.46/4.5, 토익 890, 토스 Level5, 자격증 2개,27,881, 읽음,,,,,,,
